城市,时间,温度,体感温度,露水,潮湿,降雨,降雨概率,preciptype,下雪,下雪深度,windgust,风速,风向角度,海平面压力,云层,可见度,太阳辐射,solarenergy,uvindex,severerisk,天气现象,icon
shenzhen,2023-08-01T00:00:00,28.5,33,24.3,77.94,0,0,,0,0,15.1,14,100,1006,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T01:00:00,28.5,33,24.3,77.94,0,0,,0,0,14.4,11,86,1005,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T02:00:00,26.6,26.6,25,91.04,0,0,,0,0,25.2,7,99,1005,60,29,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T03:00:00,28.1,32.2,24.3,79.9,0,0,rain,0,0,10.4,5.5,92,1004.9,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T04:00:00,28.1,32.5,24.7,81.97,0,0,,0,0,9,9.1,75,1004,33.9,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T05:00:00,25.7,25.7,25,95.98,0,0,rain,0,0,25.2,0.2,70,1004.5,81.9,31.1,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T06:00:00,28.1,32.8,25.1,83.79,0,0,,0,0,8.6,7.8,79,1004,30,10,0,0,0,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T07:00:00,28.6,33.4,24.6,79.21,0,0,rain,0,0,10.1,8.3,69,1004.9,32,10,47,0.2,0,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T08:00:00,29,35.2,25.5,81.35,0.003,100,rain,0,0,21.6,3.8,22,1005.2,83.9,30.1,229,0.8,2,10,"Rain, Partially cloudy",rain
shenzhen,2023-08-01T09:00:00,30.4,36.4,24.6,71.24,0,0,,0,0,4.3,7,58,1005.4,40.6,10,372,1.3,4,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T10:00:00,29.8,36,25.1,75.52,0,0,,0,0,3.6,8.9,237,1006,50,10,607,2.2,6,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T11:00:00,31.6,38.8,25.2,68.96,0,0,,0,0,18,10.7,75,1005.5,91.9,16.9,655,2.4,7,10,Overcast,cloudy
shenzhen,2023-08-01T12:00:00,29.8,36.5,25.5,77.93,0,0,,0,0,7.9,11.7,188,1005.4,68.8,10,726,2.6,7,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T13:00:00,28,32.9,25.2,84.75,0,0,rain,0,0,9.7,18,92,1005,68.8,6.7,869,3.1,9,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T14:00:00,29.4,35.9,25.6,80.34,0.041,100,rain,0,0,21.6,7.2,266,1004.1,90,19.5,794,2.9,8,10,"Rain, Partially cloudy",rain
shenzhen,2023-08-01T15:00:00,30.4,37,25.2,73.91,0,0,,0,0,10.8,10.4,103,1003.1,46.1,10,794,2.9,8,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T16:00:00,30.4,37,25.2,73.91,0,0,,0,0,9.4,11.6,225,1002.5,30,10,675,2.4,7,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T17:00:00,32.2,38.5,24.2,62.5,0,0,,0,0,21.6,7.2,118,1002.3,78.4,28.5,468,1.7,5,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T18:00:00,30.4,36.4,24.7,71.61,0,0,,0,0,8.3,11.7,240,1002.4,30,10,227,0.8,2,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T19:00:00,29.5,34.5,24.2,73.31,0,0,,0,0,8.6,11,176,1003.4,30,10,53,0.2,1,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-01T20:00:00,28.2,32.9,24.8,81.73,0.001,100,rain,0,0,21.6,3.6,105,1004.2,88.1,29,0,0,0,10,"Rain, Partially cloudy",rain
shenzhen,2023-08-01T21:00:00,29.4,34.8,24.7,75.85,0,0,,0,0,7.9,9.6,172,1004.4,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T22:00:00,29.1,34.4,24.7,77.55,0,0,,0,0,9.7,11.7,149,1005,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-01T23:00:00,26.3,26.3,24.8,91.75,0,0,,0,0,21.6,0.3,15,1005.1,74.2,24.5,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T00:00:00,28.9,34.1,24.7,77.81,0,0,,0,0,10.4,11.2,95,1004.4,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T01:00:00,28.5,33,24.3,77.94,0,0,,0,0,10.1,8.2,95,1003.5,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T02:00:00,25.5,25.5,24.7,95.22,0,0,,0,0,14.4,0.2,83,1003.6,66.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T03:00:00,28.1,32.6,24.7,82.19,0,0,,0,0,9,6.2,96,1003.4,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T04:00:00,28.1,32.1,24.2,79.41,0,0,,0,0,8.3,6.1,67,1003.4,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T05:00:00,24.8,24.8,24.4,97.56,0,0,,0,0,14.4,0.1,67,1003.5,60,23.8,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T06:00:00,27.6,31.3,24.2,81.63,0,0,,0,0,5.4,5.9,76,1003.9,30,10,0,0,0,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T07:00:00,28.2,32.7,24.6,81.2,0,0,,0,0,4.7,6.7,81,1004,30,10,59,0.2,1,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T08:00:00,28.9,33.9,24.6,77.67,0,0,,0,0,14.4,0.4,56,1004.5,34.2,24.5,225,0.8,2,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T09:00:00,30.5,36,24.2,68.85,0,0,,0,0,2.9,5.7,24,1005,30,10,429,1.5,4,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T10:00:00,30.9,37.2,24.6,69.12,0,0,,0,0,5.4,8.9,335,1005,30,10,624,2.2,6,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T11:00:00,32.4,37.4,23,57.76,0,0,,0,0,14.4,10.5,77,1004.6,60,23.5,766,2.8,8,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T12:00:00,31.1,37.5,24.7,69.14,0,0,,0,0,10.1,9.9,272,1004,30,10,847,3,8,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T13:00:00,31.9,38.8,24.7,65.7,0,0,,0,0,12.6,10.6,239,1004,30,10,876,3.2,9,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T14:00:00,34,38.7,22.4,51.05,0,0,,0,0,28.8,10.8,86,1003.1,90,25.8,915,3.3,9,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T15:00:00,31.9,39.2,25.1,66.98,0,0,,0,0,12.2,14,217,1002.4,30,10,826,3,8,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T16:00:00,32.8,39.4,24.3,61.19,0,0,,0,0,12.2,12.9,223,1002,30,10,666,2.4,7,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T17:00:00,33,37.9,22.8,55,0,0,,0,0,28.8,10.6,82,1001.8,66.4,31.1,496,1.8,5,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T18:00:00,30.9,35.8,23.4,64.17,0,0,,0,0,14,12.3,183,1001.5,30,10,277,1,3,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T19:00:00,29.9,35.7,24.7,73.38,0,0,,0,0,16.6,15.5,170,1002,30,10,67,0.2,1,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-02T20:00:00,28.8,32.8,23.3,72.22,0,0,,0,0,28.8,3.7,140,1002.7,80,31,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T21:00:00,29.5,35,24.7,75.4,0,0,,0,0,15.8,11.9,185,1003,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T22:00:00,28.9,33.7,24.2,75.58,0,0,,0,0,15.8,9.5,176,1003.4,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-02T23:00:00,25.9,25.9,23.3,85.53,0,0,,0,0,28.8,0.2,114,1003.8,66.4,31.1,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T00:00:00,28.9,34.2,24.8,78.22,0,0,,0,0,13.7,12.1,205,1003.4,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T01:00:00,28.9,34.1,24.6,77.54,0,0,,0,0,11.2,8.3,113,1003,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T02:00:00,25.6,25.6,23.8,89.8,0,0,,0,0,14.4,3.6,99,1002.8,81.9,31.1,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T03:00:00,28.1,32.6,24.8,82.41,0,0,,0,0,6.1,7.6,134,1002,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T04:00:00,28.1,32.6,24.7,82.19,0,0,,0,0,4,3.8,150,1002,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T05:00:00,24.4,24.4,23.6,95.23,0,0,,0,0,10.8,0.1,208,1002.2,42.3,31.1,0,0,0,10,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T06:00:00,28.1,32.6,24.8,82.41,0,0,,0,0,1.8,4,170,1002.4,30,10,0,0,0,3,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T07:00:00,29.1,34.4,24.8,77.76,0,0,,0,0,3.2,3.6,75.6,1002.9,30,10,65,0.2,1,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T08:00:00,28.5,33.2,24.5,78.96,0,0,,0,0,10.8,0.2,274,1003.3,43.9,28,274,1,3,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T09:00:00,30,36.5,25.2,75.29,0,0,,0,0,2.2,5.7,326,1003,30,10,496,1.8,5,3,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T10:00:00,30.9,38.1,25.3,71.96,0,0,,0,0,4,9.9,296,1003,30,10,696,2.5,7,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T11:00:00,33.7,37.1,21.3,48.35,0,0,,0,0,14.4,3.9,289,1002.8,31.9,28.9,851,3.1,9,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T12:00:00,31.9,38.8,24.7,65.7,0,0,,0,0,7.2,10,273,1002.5,30,10,950,3.4,10,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T13:00:00,31.9,38.8,24.7,65.7,0,0,,0,0,11.2,13.4,229,1002,30,10,984,3.5,10,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T14:00:00,35.7,40.7,22.2,45.75,0,0,,0,0,18,7.4,44,1001.2,40,31.1,950,3.4,10,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T15:00:00,32.8,40.1,24.8,62.67,0,0,,0,0,12.6,17,209,1001,30,10,850,3.1,9,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T16:00:00,33.4,40.9,24.9,61.16,0,0,,0,0,15.1,16.9,190,1000.5,30,10,693,2.5,7,10,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T17:00:00,34.6,43,25.1,58.03,0,0,,0,0,25.2,11,136,1000.7,34.2,29,496,1.8,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T18:00:00,31.1,38.8,25.7,73.38,0,0,,0,0,20.2,20.6,165,1001,30,10,275,1,3,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T19:00:00,30.9,40,26.6,77.83,0,0,,0,0,22.7,21,165,1001.5,30,10,66,0.2,1,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-03T20:00:00,30.6,37.7,25.5,74.32,0,0,,0,0,25.2,7.4,180,1002.8,34.2,31.1,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T21:00:00,30.5,38.5,26.2,77.96,0,0,,0,0,22,19.1,193,1003,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T22:00:00,30.5,38.5,26.2,77.96,0,0,,0,0,22.3,19.1,181,1003.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-03T23:00:00,27.6,32.6,25.9,90.51,0,0,,0,0,25.2,4.2,239,1003.7,38.1,31.1,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T00:00:00,30.5,38.5,26.2,77.96,0,0,,0,0,26.6,16.7,188,1003,32,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T01:00:00,30,37.8,26.2,79.89,0,0,rain,0,0,29.2,19.1,197,1003,39.4,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T02:00:00,27.9,33.2,25.9,89.24,0,0,rain,0,0,25.2,0.8,231,1003.3,58.1,31.1,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T03:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,25.2,10.2,214,1003,50,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T04:00:00,29.5,37.3,26.5,83.95,0,0,,0,0,22.7,12,213,1002.9,50,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T05:00:00,28,33.6,26,88.49,0.001,100,rain,0,0,25.2,4,183,1003.5,74.5,29,0,0,0,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-04T06:00:00,29.1,36.3,26.5,86.27,0,0,,0,0,26.3,15.8,227,1004,50,9.1,0,0,0,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T07:00:00,29.5,37.2,26.5,84.17,0,0,,0,0,25.6,11.6,228,1004.4,60.3,10,51,0.2,1,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T08:00:00,29.6,37.6,26.7,84.77,0.157,100,rain,0,0,25.2,0.5,220,1004.8,74.5,28.1,226,0.8,2,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-04T09:00:00,29.7,37.1,26.1,80.83,0,0,,0,0,22,14.4,247,1005,50,9.2,421,1.5,4,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T10:00:00,30.8,39.6,26.5,77.81,0,0,,0,0,21.6,13.3,236,1005.4,38.5,10,610,2.2,6,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T11:00:00,33.1,42.7,26.2,67.06,0.005,100,rain,0,0,25.2,11.1,258,1005.3,90,31,754,2.7,8,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-04T12:00:00,32.1,40.2,25.7,69.08,0,0,,0,0,22,12.9,201,1004.9,39.4,10,855,3.1,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T13:00:00,32.5,41,25.8,67.85,0,0,rain,0,0,24.5,16.3,194,1004.4,41.5,10,836,3,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T14:00:00,34.5,43.5,25.6,60.06,0.015,100,rain,0,0,25.2,8,202,1004.3,80.3,29,844,3,8,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-04T15:00:00,32.5,41.7,26.2,69.59,0,0,,0,0,24.8,26.9,189,1003.5,30,10,808,2.9,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T16:00:00,32.4,41.5,26.2,69.99,0,0,,0,0,26.3,23.7,185,1003,30,10,651,2.3,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T17:00:00,33.2,42.3,25.9,65.54,0,0,,0,0,32.4,14.8,202,1003.3,72.3,28.5,454,1.6,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T18:00:00,30.9,40,26.6,77.83,0,0,,0,0,29.5,27.3,181,1003.5,30,10,257,0.9,3,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T19:00:00,30.5,39.2,26.7,80.16,0,0,,0,0,29.2,26.5,181,1004,30,10,61,0.2,1,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-04T20:00:00,29.8,36.2,25.3,76.54,0,0,,0,0,29,11.4,229,1004.5,81.9,25.5,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T21:00:00,30,38.4,26.7,82.14,0,0,,0,0,23.8,22.4,191,1004.4,39.4,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T22:00:00,30,38.4,26.7,82.14,0,0,,0,0,20.2,22.6,191,1005,58.3,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-04T23:00:00,29.4,36.2,25.9,81.77,0,0,,0,0,39.6,4.4,211,1005.3,84.2,25,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-05T00:00:00,30,38.4,26.6,81.93,0,0,,0,0,23,16.5,212,1004.4,39.4,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-05T01:00:00,30,37.7,26.2,79.68,0,0,,0,0,25.2,12.7,212,1004,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-05T02:00:00,27.8,33.6,26.4,92.15,0,0,,0,0,39.6,1.5,226,1003.8,76.1,26.8,0,0,0,30,Partially cloudy,partly-cloudy-night
